id,date,title,summary,root_cause,countermeasure,product,client,tags,severity,owner,lead_time_hours,tacit_notes,leadtime_bucket_calc,normalized_tags,summary_ja,severity_pred,leadtime_bucket
15,2025/09/05,プリセット値誤設定,プリセット値誤設定が発生し対応を実施。追加工数が発生。,外注ミス,設備点検強化,ラベル,H化粧品,環境;物流;製本,Medium,製造一課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"環境,物流,製本",原因は外注によるプリセット値の誤設定で追加工数が発生。対策として設備点検を強化し再発防止を図る。,3,8-24h
16,2025/09/10,支給データ破損,支給データ破損が発生し対応を実施。追加工数が発生。,排気不足,排気改善,マニュアル,G流通,製本;品質;データ,High,資材課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"製本,品質,データ",支給データが破損し追加工数が発生。原因は排気不足のため、排気改善で再発防止を図る。,4,8-24h
17,2025/05/19,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,外注ミス,標準書改訂,パッケージ箱,D製薬,印刷,Critical,工程管理課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"印刷,インキ,汚れ,外注,標準書",外注ミスによりインキ汚れが発生し追加工数が発生。対策として標準書を改訂し再発防止を図る。,5,24-72h
18,2025/06/23,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,排気不足,標準書改訂,ポスター,I自動車,環境;製本;品質,High,設備保全部,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"環境,製本,品質",排気不足により糊付け不足が発生した。標準書を改訂して排気管理基準を明確化・徹底し、再発を防止する。,4,24-72h
19,2025/08/25,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,書籍,I自動車,環境;製本;印刷,High,品質管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"環境,製本,印刷",受入検査の不備によりインキ汚れが発生。試し刷りを増やして事前検出を強化し、再発防止を図る。,4,8-24h
20,2025/04/28,QR印字欠け,QR印字欠けが発生し対応を実施。追加工数が発生。,環境変動,校正プロセス強化,ポスター,J飲料,異物;設備,High,物流課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"異物,設備",環境変動によりポスターのQRコード印字が欠け、追加工数が発生。校正プロセスを強化して印字品質の安定化と再発防止を図る。,4,24-72h
21,2025/09/18,断裁寸法不良,断裁寸法不良が発生し対応を実施。追加工数が発生。,設定ミス,排気改善,チラシ,G流通,安全,Medium,物流課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"断裁,寸法,設定,排気,安全",設定ミスにより断裁寸法不良が発生。排気改善を実施し再発防止を図る。,3,～8h
22,2025/06/19,糊付け不足,糊付け不足が発生し対応を実施。追加工数が発生。,粉塵堆積,材料受入強化,ラベル,J飲料,データ,Medium,製造二課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"接着,異物,受入検査,ラベル,再作業",粉塵の堆積により糊付け不足が発生。材料受入を強化して異物混入を抑制し、再発防止を図る。,3,24-72h
23,2025/04/23,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,マニュアル,H化粧品,後加工,Low,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,後加工,インキロット異常はセンサーへの粉塵堆積が原因。センサー清掃頻度を増やして再発防止を図る。,2,～8h
24,2025/05/17,折りズレ,折りズレが発生し対応を実施。追加工数が発生。,機械疲労,設備点検強化,書籍,I自動車,検査,Low,製造三課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,検査,機械疲労が原因で折りズレが発生し、追加工数が生じた。設備点検を強化して再発防止を図る。,2,24-72h
25,2025/05/26,裏移り,裏移りが発生し対応を実施。追加工数が発生。,教育不足,センサー清掃頻度増加,名刺,B食品,データ,Critical,資材課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,データ,名刺印刷で裏移りが発生。原因は教育不足で、対策としてセンサーの清掃頻度を増やす。,5,～8h
26,2025/04/16,油圧低下,油圧低下が発生し対応を実施。追加工数が発生。,人的ミス,作業動線見直し,カタログ,B食品,データ,Low,製造二課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"油圧,設備,人的ミス,動線,データ",人的ミスにより油圧低下が発生し追加工数が発生。対策として作業動線の見直しを実施。,2,24-72h
27,2025/04/05,ラベル貼付漏れ,ラベル貼付漏れが発生し対応を実施。追加工数が発生。,教育不足,標準書改訂,マニュアル,E通販,データ;設備;工程,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"データ,設備,工程",教育不足が原因でラベル貼付漏れが発生し、追加工数が発生。対策として標準書を改訂し再教育を実施する。,4,～8h
28,2025/06/17,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,書籍,C電機,異物,Critical,物流課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,異物混入,受入検査の不備によりPP剥がれが発生。対策として試し刷りを増やし検出精度を高めて再発防止する。,5,～8h
29,2025/09/02,給油不足,給油不足が発生し対応を実施。追加工数が発生。,環境変動,排気改善,パッケージ箱,B食品,後加工;安全,Critical,資材課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"後加工,安全",環境変動により給油不足が発生し追加工数が増加。排気改善で対応し再発抑制を図った。,5,8-24h
30,2025/04/14,見当不良,見当不良が発生し対応を実施。追加工数が発生。,作業標準未確認,ネットワーク監視強化,POP,D製薬,品質;印刷;後加工,Low,工程管理課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,品質,後加工,見当",作業標準の未確認により印刷で見当不良が発生し追加工数が発生。対策としてネットワーク監視を強化し再発防止を図る。,2,8-24h
31,2025/08/12,安全カバー未装着,安全カバー未装着が発生し対応を実施。追加工数が発生。,排気不足,湿度管理強化,チラシ,H化粧品,設備,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,設備,原因は排気不足による環境不良で安全カバー未装着が発生。対策として湿度管理を強化し再発防止を図る。,4,～8h
32,2025/06/12,JDF連携不良,JDF連携不良が発生し対応を実施。追加工数が発生。,静電気,湿度管理強化,名刺,B食品,品質,Critical,物流課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"品質,連携,JDF,静電気,湿度",静電気が原因でJDF連携不良が発生し追加工数が発生。湿度管理を強化して静電気対策を実施。,4,8-24h
33,2025/05/02,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,システム障害,作業動線見直し,カタログ,A商事,安全;物流,Critical,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"安全,物流",システム障害によりインキロット異常が発生し追加工数が発生。対策として作業動線を見直す。,4,8-24h
34,2025/04/20,箔押しムラ,箔押しムラが発生し対応を実施。追加工数が発生。,作業標準未確認,作業動線見直し,ラベル,C電機,環境,Medium,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"箔押し,外観,環境,手順",作業標準の未確認により箔押しムラが発生。作業動線を見直して再発防止を図る。,3,～8h
35,2025/09/11,ラミ気泡,ラミ気泡が発生し対応を実施。追加工数が発生。,人的ミス,センサー清掃頻度増加,名刺,B食品,品質;環境,Medium,製造三課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"品質,環境",ラミネーション工程で気泡が発生し追加工数が発生。原因は人的ミスで、対策としてセンサーの清掃頻度を増やす。,3,～8h
36,2025/09/11,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,システム障害,校正プロセス強化,名刺,A商事,製本,High,製造二課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"色,システム障害,校正,名刺,製本",システム障害により色ズレが発生。校正プロセスを強化して再発防止を図る。,4,～8h
37,2025/06/16,異物混入疑い,異物混入疑いが発生し対応を実施。追加工数が発生。,環境変動,IoT監視強化,パッケージ箱,A商事,印刷;品質;データ,High,設備保全部,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,品質,データ,異物混入,IoT",環境変動によりパッケージ箱で異物混入の疑いが発生し、追加工数が発生。IoTによる環境監視を強化して再発防止を図る。,4,24-72h
38,2025/09/18,設備モーター異常,設備モーター異常が発生し対応を実施。追加工数が発生。,システム障害,排気改善,チラシ,D製薬,製本,Critical,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"設備,モーター,システム障害,排気,製本",設備モーター異常はシステム障害が原因。排気改善を実施して再発抑制を図り、対応に追加工数が発生。,5,～8h
39,2025/06/14,温度上昇アラート,温度上昇アラートが発生し対応を実施。追加工数が発生。,粉塵堆積,試し刷り増加,書籍,I自動車,異物;安全,Low,物流課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"異物,安全,温度,印刷,アラート",粉塵の堆積が原因で温度上昇アラートが発生。対策として試し刷りを増やして影響確認・抑制を実施。,2,～8h
40,2025/07/24,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,伝達ミス,排気改善,カタログ,E通販,製本,Medium,資材課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"色,製本,情報伝達",伝達ミスにより色ズレが発生し追加工数が生じたため、対策として排気改善を実施。,3,24-72h
41,2025/07/14,給紙二重送り,給紙二重送りが発生し対応を実施。追加工数が発生。,外注ミス,ネットワーク監視強化,ポスター,C電機,安全,Critical,設備保全部,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"給紙,外注,監視,安全",外注ミスにより給紙で二重送りが発生し、追加工数が発生。対策としてネットワーク監視を強化して再発を抑止する。,4,～8h
42,2025/06/18,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,粉塵堆積,IoT監視強化,ラベル,C電機,工程;印刷,Low,工程管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,工程,色",粉塵堆積が原因で色ズレが発生。対策としてIoT監視を強化し、再発防止を図る。,2,8-24h
43,2025/06/18,給油不足,給油不足が発生し対応を実施。追加工数が発生。,要因解析中,二重チェック導入,カタログ,A商事,物流,High,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,物流,給油不足により作業遅延と追加工数が発生。原因は解析中で、対策として給油工程の二重チェックを導入。,4,8-24h
44,2025/04/20,電源瞬断,電源瞬断が発生し対応を実施。追加工数が発生。,人的ミス,標準書改訂,ポスター,B食品,設備;品質,High,工程管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"設備,品質",電源瞬断は人的ミスが原因で追加工数が発生。再発防止として標準書を改訂する。,4,～8h
45,2025/06/11,倉庫ロケミス,倉庫ロケミスが発生し対応を実施。追加工数が発生。,排気不足,標準書改訂,カタログ,A商事,物流,Medium,品質管理課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,物流,倉庫ロケミスの原因は排気不足で、再発防止として標準書を改訂する。,3,～8h
46,2025/06/21,抜き不良,抜き不良が発生し対応を実施。追加工数が発生。,伝達ミス,二重チェック導入,POP,E通販,安全;後加工,Low,製造三課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"後加工,安全,伝達",伝達ミスにより後加工の抜き不良が発生し、追加工数が発生。対策として二重チェックを導入する。,2,～8h
47,2025/05/23,断裁寸法不良,断裁寸法不良が発生し対応を実施。追加工数が発生。,教育不足,材料受入強化,ポスター,D製薬,製本,Medium,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"製本,断裁,寸法",教育不足により断裁の寸法不良が発生。材料受入を強化し、基準適合の確認を徹底して不良の再発を抑制する。,3,8-24h
48,2025/06/08,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,機械疲労,試し刷り増加,カタログ,D製薬,安全;物流;品質,High,製造三課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"安全,品質,物流",機械疲労が原因のヒヤリハットが発生。対策として試し刷りを増やして安全・品質の確認を強化。,4,～8h
49,2025/08/05,静電気付着,静電気付着が発生し対応を実施。追加工数が発生。,受入検査不備,試し刷り増加,ポスター,I自動車,物流;安全,Low,製造二課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"物流,安全",受入検査の不備が原因で静電気付着が発生し追加工数が発生。対策として試し刷りを増やして早期検知・是正を行う。,2,～8h
50,2025/09/30,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,設備劣化,材料受入強化,ラベル,F出版社,設備;環境;製本,Medium,資材課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"設備,環境,製本",設備劣化が原因でヒヤリハットが発生し、追加工数が発生。対策として材料受入強化を実施。,3,24-72h
51,2025/07/22,QR印字欠け,QR印字欠けが発生し対応を実施。追加工数が発生。,静電気,材料受入強化,カタログ,C電機,異物;品質,High,製造二課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"品質,異物",静電気によりQRコードの印字欠けが発生し追加工数が発生。対策として材料受入強化を実施し、静電気由来の不具合抑制を図る。,4,8-24h
52,2025/04/24,裏移り,裏移りが発生し対応を実施。追加工数が発生。,静電気,校正プロセス強化,書籍,D製薬,安全;品質;データ,Medium,工程管理課,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"安全,品質,データ",静電気により書籍で裏移りが発生。対策として校正プロセスを強化し再発防止を図る。,3,～8h
53,2025/04/16,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,原材料ロット不良,IoT監視強化,ラベル,J飲料,物流,High,製造一課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"原材料,ロット不良,監視,物流",原因は原材料ロット不良で、IoT監視を強化して早期検知・再発防止を図る。対応により追加工数が発生。,4,24-72h
54,2025/08/20,作業手順未遵守,作業手順未遵守が発生し対応を実施。追加工数が発生。,静電気,二重チェック導入,カタログ,I自動車,設備;物流,High,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"設備,物流",静電気の影響で作業手順未遵守が発生し、追加工数が生じた。対策として二重チェックを導入し再発防止を図る。,4,8-24h
55,2025/07/02,センサー誤検知,センサー誤検知が発生し対応を実施。追加工数が発生。,伝達ミス,試し刷り増加,チラシ,C電機,物流;設備,Low,製造三課,2,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"設備,物流",センサーの誤検知は伝達ミスが原因。対策として試し刷りを増やして再発防止を図る。,2,～8h
56,2025/08/15,紙粉多発,紙粉多発が発生し対応を実施。追加工数が発生。,設備劣化,作業動線見直し,カタログ,G流通,検査;物流;安全,Critical,資材課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"検査,物流,安全",設備の劣化により紙粉が多発。作業動線を見直し、再発防止と追加工数の抑制を図る。,4,8-24h
57,2025/08/14,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,システム障害,二重チェック導入,POP,E通販,検査,Medium,製造二課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"検査,システム障害,RIP",原因はシステム障害によるRIPエラーで追加工数が発生。対策として二重チェックを導入し再発防止を図る。,3,8-24h
58,2025/05/15,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,教育不足,標準書改訂,マニュアル,C電機,データ;印刷;設備,Medium,資材課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"データ,印刷,設備",RIPエラーは教育不足が原因。標準書を改訂し手順を明確化して教育を強化することで再発防止する。,3,24-72h
59,2025/09/26,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,作業標準未確認,センサー清掃頻度増加,パッケージ箱,E通販,安全;後加工,High,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"安全,後加工",作業標準未確認が原因でネットワーク断が発生。対策としてセンサー清掃の頻度を増やす。,4,～8h
60,2025/05/28,色ズレ,色ズレが発生し対応を実施。追加工数が発生。,設定ミス,教育訓練実施,POP,F出版社,製本;工程;データ,Critical,製造一課,36,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"色,製本,工程,データ",設定ミスにより色ズレが発生し追加工数が発生。教育訓練を実施して設定の再確認体制を整え、再発防止を図る。,5,24-72h
61,2025/05/09,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,センサー汚れ,作業動線見直し,ポスター,J飲料,異物,Critical,資材課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,異物,センサー汚れが原因でPP剥がれが発生。作業動線を見直して汚れの発生を抑え、再発防止と追加工数の削減を図る。,5,～8h
62,2025/07/29,排気ダクト詰まり,排気ダクト詰まりが発生し対応を実施。追加工数が発生。,要因解析中,排気改善,POP,C電機,異物,High,設備保全部,8,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,異物,排気ダクトが詰まり、作業に追加工数が発生。原因は解析中で、排気改善を実施。,4,～8h
63,2025/04/24,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,排気不足,材料受入強化,書籍,B食品,データ,Low,設備保全部,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"梱包,排気,材料受入,データ",梱包ミスは排気不足が原因とみられ、材料受入強化で再発防止を図る。対応済みだが追加工数が発生。,2,8-24h
64,2025/05/06,梱包ミス,梱包ミスが発生し対応を実施。追加工数が発生。,粉塵堆積,センサー清掃頻度増加,マニュアル,A商事,製本;検査;設備,Medium,品質管理課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"製本,検査,設備",粉塵堆積が原因で梱包ミスが発生。センサーの清掃頻度を増やして再発を防止する。,3,24-72h
65,2025/09/27,搬送ベルト滑り,搬送ベルト滑りが発生し対応を実施。追加工数が発生。,原材料ロット不良,教育訓練実施,ポスター,G流通,設備;データ;物流,Medium,物流課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"設備,データ,物流",原材料ロット不良により搬送ベルトが滑り追加工数が発生。対策として教育訓練を実施し再発防止を図る。,3,8-24h
66,2025/04/08,PP剥がれ,PP剥がれが発生し対応を実施。追加工数が発生。,要因解析中,ネットワーク監視強化,冊子,E通販,工程;製本;印刷,Low,資材課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"印刷,製本,表面加工,剥がれ,工程",冊子のPP剥がれが発生し追加工数が発生。原因は解析中で、暫定対応としてネットワーク監視を強化。,2,～8h
67,2025/06/15,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,排気不足,教育訓練実施,カタログ,G流通,後加工,Medium,品質管理課,6,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,後加工,原因は排気不足によるネットワーク断。対策として教育訓練を実施し再発防止を図る。,3,～8h
68,2025/05/15,エンボス不良,エンボス不良が発生し対応を実施。追加工数が発生。,原材料ロット不良,湿度管理強化,POP,H化粧品,工程;異物;設備,Low,物流課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"工程,異物,設備",原材料ロット不良によりエンボス不良が発生。湿度管理を強化して再発防止を図る。,2,8-24h
69,2025/08/03,RIPエラー,RIPエラーが発生し対応を実施。追加工数が発生。,人的ミス,IoT監視強化,チラシ,G流通,環境;異物,Medium,物流課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"環境,異物",RIPエラーは人的ミスが原因で発生し、IoT監視を強化して再発を防止する。,3,～8h
70,2025/06/12,裏移り,裏移りが発生し対応を実施。追加工数が発生。,受入検査不備,作業動線見直し,チラシ,B食品,工程,Medium,製造一課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷不良,工程,検査",受入検査不備が原因で裏移りが発生し追加工数が発生。対策として作業動線を見直して再発防止を図る。,3,8-24h
71,2025/07/18,インキロット異常,インキロット異常が発生し対応を実施。追加工数が発生。,排気不足,排気改善,POP,D製薬,工程;異物;検査,High,製造二課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"工程,異物,検査",排気不足が原因でインキロット異常が発生。排気改善で是正し、追加工数で対応済み。,4,～8h
72,2025/06/02,搬送ベルト滑り,搬送ベルト滑りが発生し対応を実施。追加工数が発生。,教育不足,ネットワーク監視強化,カタログ,J飲料,印刷;異物,Critical,資材課,16,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,異物",搬送ベルト滑りが発生し、原因は教育不足。対策としてネットワーク監視を強化する。,5,8-24h
73,2025/04/28,ヒヤリハット発生,ヒヤリハット発生が発生し対応を実施。追加工数が発生。,要因解析中,ネットワーク監視強化,名刺,C電機,印刷,High,工程管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"印刷,ネットワーク,監視",ヒヤリハット発生の原因は解析中だが、影響抑制のためネットワーク監視を強化して対応し、追加工数が発生。,4,8-24h
74,2025/06/30,ネットワーク断,ネットワーク断が発生し対応を実施。追加工数が発生。,設定ミス,IoT監視強化,POP,G流通,データ,High,工程管理課,48,現場からのヒアリング情報を基に要因をナレッジ化予定。,24-72h,"ネットワーク,設定,監視,IoT,データ",設定ミスによりネットワーク断が発生し追加工数が発生。IoT監視を強化して再発防止を図る。,4,24-72h
75,2025/08/28,型抜きズレ,型抜きズレが発生し対応を実施。追加工数が発生。,設備劣化,二重チェック導入,チラシ,E通販,品質;データ;印刷,Medium,品質管理課,4,現場からのヒアリング情報を基に要因をナレッジ化予定。,～8h,"品質,データ,印刷",設備劣化により型抜きズレが発生し、追加工数が発生。二重チェックを導入して再発防止を図る。,3,～8h
76,2025/04/25,静電気付着,静電気付着が発生し対応を実施。追加工数が発生。,教育不足,設備点検強化,マニュアル,H化粧品,安全;環境,High,品質管理課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"安全,環境",静電気付着の発生は教育不足が原因で、設備点検を強化して再発防止を図る。,4,8-24h
77,2025/09/19,インキ汚れ,インキ汚れが発生し対応を実施。追加工数が発生。,機械疲労,IoT監視強化,POP,J飲料,設備;製本,High,物流課,12,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"設備,製本",インキ汚れの原因は機械疲労。IoT監視を強化して異常の早期検知と再発防止を図る。,4,8-24h
78,2025/05/22,設備モーター異常,設備モーター異常が発生し対応を実施。追加工数が発生。,計画変更未連携,ネットワーク監視強化,パッケージ箱,I自動車,製本,Medium,製造三課,24,現場からのヒアリング情報を基に要因をナレッジ化予定。,8-24h,"設備,モーター,計画連携不足,ネットワーク監視,製本",計画変更の未連携が原因で設備モーター異常が発生し追加工数が発生。対策はネットワーク監視を強化して早期検知と連携改善を図る。,3,8-24h
