date,uptime_rate,throughput_per_hr,downtime_min,defect_rate_pct,energy_kwh,profit_yen
2025-10-01,81.4,103.9,60.0,4.96,3896.0,11210353
2025-10-02,81.14,104.2,60.0,5.01,3742.0,11370433
2025-10-03,81.22,104.7,60.0,4.78,3841.0,11091717
2025-10-04,81.23,103.4,60.0,4.76,3781.0,11386711
2025-10-05,81.2,103.6,60.0,4.77,4212.0,10787735
2025-10-06,81.21,103.7,60.0,5.02,4090.0,10724127
2025-10-07,81.01,102.0,60.0,4.79,4127.0,11033120
2025-10-08,80.99,102.6,60.0,5.01,4049.0,11127483
2025-10-09,81.02,103.4,60.0,5.54,3778.0,11054225
2025-10-10,81.17,105.0,60.0,5.17,3881.0,10666770
2025-10-11,81.12,106.6,60.0,4.81,4046.0,11081403
2025-10-12,81.04,104.5,60.0,5.28,3773.0,10813535
2025-10-13,80.99,103.1,60.0,4.8,4052.0,11191483
2025-10-14,81.08,103.9,60.0,4.3,3915.0,11140139
2025-10-15,81.11,104.7,60.0,4.61,3901.0,10888091
2025-10-16,81.06,105.4,60.0,4.35,4070.0,10982565
2025-10-17,81.11,111.2,60.0,4.81,4076.0,10942845
2025-10-18,81.12,112.1,60.0,4.92,3962.0,11152427
2025-10-19,81.22,113.8,60.0,5.41,4204.0,11376432
2025-10-20,81.15,115.2,60.0,5.01,3880.0,11005430
2025-10-21,81.11,116.2,60.0,4.85,4142.0,11315110
2025-10-22,81.08,115.7,60.0,5.16,4135.0,11102574
2025-10-23,80.93,116.9,60.0,4.26,4008.0,11063713
2025-10-24,80.96,115.7,60.0,4.99,4095.0,11186970
2025-10-25,80.98,115.3,60.0,5.15,3855.0,10997065
2025-10-26,80.98,114.6,60.0,4.48,4176.0,11084647
2025-10-27,80.96,114.7,60.0,5.27,4010.0,10957275
2025-10-28,80.82,118.2,60.0,5.04,3987.0,11631460
2025-10-29,80.78,115.4,60.0,4.81,4201.0,11211957
2025-10-30,80.74,116.4,60.0,5.13,3946.0,11077311
2025-10-31,80.66,114.0,60.0,5.63,3821.0,11231024
2025-11-01,80.65,113.3,60.0,5.0,3793.0,11157267
2025-11-02,80.69,114.9,60.0,5.02,4130.0,11155140
2025-11-03,80.88,115.0,60.0,4.79,3848.0,11323324
2025-11-04,80.89,113.4,60.0,4.67,4291.0,11332593
2025-11-05,80.92,112.4,60.0,5.18,3707.0,11062116
2025-11-06,80.91,113.4,60.0,4.67,4281.0,11065285
2025-11-07,80.72,112.3,60.0,4.96,4050.0,11112292
2025-11-08,80.72,112.6,60.0,4.8,4006.0,10710814
2025-11-09,80.72,112.7,60.0,5.09,3940.0,10868981
2025-11-10,80.97,111.7,60.0,5.02,4073.0,11433665
2025-11-11,80.95,114.9,60.0,5.24,4034.0,11527875
2025-11-12,80.98,115.9,60.0,4.77,4212.0,11160484
2025-11-13,80.98,112.8,60.0,4.84,4040.0,11289150
2025-11-14,80.86,113.1,60.0,4.64,4047.0,11239445
2025-11-15,80.97,112.1,60.0,4.79,3962.0,11781059
2025-11-16,81.05,113.4,60.0,5.03,4019.0,11404542
