date,uptime_rate,throughput_per_hr,downtime_min,defect_rate_pct,energy_kwh,profit_yen
2025-08-21,88.31,133.4,322.0,3.75,4016.0,12061236
2025-08-22,87.58,130.1,342.0,3.52,3784.0,12290835
2025-08-23,88.23,130.9,260.0,3.44,4156.0,12243059
2025-08-24,87.79,127.9,371.0,3.79,3897.0,12139891
2025-08-25,87.28,133.5,249.0,4.68,3861.0,12131877
2025-08-26,86.9,124.5,334.0,4.05,3878.0,11883221
2025-08-27,86.98,123.5,255.0,4.19,4268.0,12302042
2025-08-28,87.1,126.7,374.0,3.92,4480.0,12196743
2025-08-29,87.03,127.0,279.0,4.23,4263.0,12511224
2025-08-30,85.79,132.9,405.0,4.08,3695.0,11742401
2025-08-31,87.13,128.4,242.0,4.48,4042.0,12536967
2025-09-01,85.64,126.3,274.0,4.08,4761.0,12390100
2025-09-02,85.17,121.5,344.0,4.52,4257.0,12304769
2025-09-03,86.32,120.6,371.0,4.32,4089.0,11715475
2025-09-04,85.94,120.0,452.0,4.7,4240.0,11374306
2025-09-05,85.59,124.7,384.0,3.73,3906.0,12167434
2025-09-06,84.58,124.6,419.0,4.24,4174.0,11422827
2025-09-07,85.24,123.8,325.0,5.43,4062.0,11800292
2025-09-08,84.44,117.7,372.0,5.39,4172.0,11534898
2025-09-09,83.59,115.7,346.0,5.87,4408.0,11857551
2025-09-10,83.74,119.6,392.0,4.87,4539.0,11519775
2025-09-11,83.23,120.2,416.0,4.54,4056.0,11456453
2025-09-12,84.11,118.8,374.0,5.16,3967.0,11870077
2025-09-13,84.03,120.0,450.0,4.52,4430.0,11948268
2025-09-14,82.72,119.5,468.0,5.35,4419.0,11600167
2025-09-15,82.95,120.2,316.0,4.37,4498.0,12136726
2025-09-16,83.01,118.2,362.0,5.31,4102.0,11744638
2025-09-17,82.02,110.4,396.0,4.15,4575.0,11722560
2025-09-18,82.86,112.7,415.0,5.04,4257.0,11477915
2025-09-19,81.68,113.4,455.0,5.97,4639.0,11273249
2025-09-20,81.28,119.0,469.0,4.22,4561.0,11172570
2025-09-21,81.34,110.8,401.0,5.37,4470.0,11490541
2025-09-22,81.37,111.4,454.0,4.98,4255.0,11396230
2025-09-23,80.91,111.1,437.0,6.08,4203.0,11646011
2025-09-24,81.74,113.3,551.0,4.4,4324.0,11193103
2025-09-25,80.93,109.6,477.0,4.69,4264.0,11294038
2025-09-26,80.0,110.8,455.0,6.61,4585.0,10962086
2025-09-27,80.68,105.2,544.0,5.25,4481.0,10613794
2025-09-28,79.58,109.1,472.0,5.46,4599.0,11305136
2025-09-29,80.85,111.7,411.0,5.37,4533.0,11442565
2025-09-30,79.27,109.3,497.0,5.93,4607.0,11230739
2025-10-01,79.44,106.4,484.0,5.48,4605.0,11079971
2025-10-02,79.55,109.0,459.0,5.61,4600.0,11426244
2025-10-03,78.85,108.4,553.0,5.3,4695.0,10797256
2025-10-04,78.54,106.5,554.0,5.93,4333.0,11258829
2025-10-05,78.95,106.8,561.0,6.12,4441.0,11245855
2025-10-06,77.83,107.3,693.0,6.5,4512.0,9733645
2025-10-07,78.92,101.3,533.0,6.27,4065.0,10943611
2025-10-08,77.55,101.1,424.0,6.21,5095.0,10983970
2025-10-09,77.36,104.3,538.0,6.05,4541.0,10994188
2025-10-10,77.7,106.9,548.0,6.82,4758.0,10586230
2025-10-11,76.46,100.8,610.0,5.53,4640.0,10180143
2025-10-12,77.34,97.5,647.0,5.96,4577.0,10604079
2025-10-13,76.78,103.7,609.0,6.05,4523.0,10865624
2025-10-14,77.1,98.4,481.0,5.93,4915.0,11168066
2025-10-15,76.67,97.6,584.0,6.5,4917.0,11246721
2025-10-16,76.96,91.1,599.0,6.3,4853.0,10856250
2025-10-17,75.85,97.2,539.0,6.8,5113.0,10804440
2025-10-18,76.49,98.8,672.0,5.99,5004.0,10286476
2025-10-19,75.88,93.4,607.0,6.64,4762.0,10520632
2025-10-20,75.41,98.5,583.0,7.34,4904.0,10625715
2025-10-21,75.57,92.1,637.0,6.23,4825.0,10681585
2025-10-22,74.86,92.8,591.0,6.47,5380.0,10607505
2025-10-23,74.75,91.1,660.0,6.92,4975.0,10514777
2025-10-24,74.56,90.7,707.0,6.49,4433.0,10419515
2025-10-25,74.71,88.3,654.0,6.55,5479.0,10493598
2025-10-26,74.35,91.2,609.0,6.66,4639.0,10518437
2025-10-27,73.14,90.4,599.0,6.85,5485.0,10745200
2025-10-28,74.71,90.1,699.0,6.62,5022.0,10602448
2025-10-29,74.64,91.0,642.0,8.55,5048.0,9903149
2025-10-30,73.25,84.8,679.0,6.65,5131.0,10791554
2025-10-31,73.78,90.7,657.0,7.06,5020.0,10231760
2025-11-01,73.43,90.4,683.0,8.13,5225.0,9950395
2025-11-02,72.73,87.6,779.0,7.31,5009.0,10209857
2025-11-03,72.63,89.2,678.0,7.38,4763.0,10413427
2025-11-04,73.06,86.6,725.0,6.41,5215.0,10257542
2025-11-05,71.51,91.7,670.0,7.83,5202.0,10523632
2025-11-06,72.51,88.9,709.0,7.73,5160.0,10388468
2025-11-07,72.51,87.6,722.0,7.54,5453.0,10313578
2025-11-08,71.36,80.5,727.0,7.1,5293.0,10136347
2025-11-09,72.21,84.0,747.0,7.38,5325.0,9306055
2025-11-10,71.66,85.5,698.0,7.65,5255.0,10400256
2025-11-11,71.6,85.7,751.0,8.24,5007.0,10175198
2025-11-12,70.79,82.1,861.0,7.93,5096.0,9503370
2025-11-13,70.11,87.7,729.0,6.76,5288.0,10054619
2025-11-14,70.23,82.5,834.0,7.09,5106.0,9917137
2025-11-15,69.08,78.7,921.0,7.65,5411.0,9321435
2025-11-16,69.58,78.0,786.0,8.52,5456.0,9490886
